SiteCode,SiteName,Borough,Latitude,Longitude,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
CLDP0147,"Hospital Brg Rd, north of Montrose Ave, Turing House School development",Richmond Upon Thames,51.450153,-0.366928,,,,,,,,,28.3,29.9,40.8,34.4,45.8,27.5,37.9,26.9,21.3,20.9,19.3,23.2,26.5,28.4,32.5,39.1,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0148,"Deer Park Schl/Lidl, Richmond Rd, opp j/w Morley Rd, E Twickenham",Richmond upon Thames,51.455547,-0.310414,,,,,,,,,,31.6,36.8,31.2,41.8,30.2,34.9,26.5,23.9,22.8,21.0,27.0,30.9,28.5,31.4,31.4,35.5,38.2,31.5,33.2,21.3,20.6,22.6,26.3,30.3,35.0,33.7,,25.5,20.6,22.6,14.2,22.2,19.0,16.9,17.2,20.4,24.0,,,,,,,
CLDP0149,"High St Teddington, nr Post Office and M&S",Richmond Upon Thames,51.427307,-0.329758,,,,,,,,,26.1,29.2,36.4,36.4,52.2,31.9,40.3,27.6,23.5,23.0,20.6,25.8,30.5,29.7,34.4,44.3,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0150,"St Margarets Rd, opposite St Margarets station, TW1",Richmond Upon Thames,51.455269,-0.319876,,,,,,,,,28.0,31.7,38.9,34.8,48.5,29.9,46.0,32.3,24.1,22.5,20.5,27.0,27.7,30.1,34.2,39.5,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0151,"Kew Rd, nr entrance to Kew Gardens, (opp j/w The Avenue)",Richmond Upon Thames,51.474155,-0.292360,,,,,,,,,24.8,28.9,41.0,40.3,52.7,31.9,38.8,27.8,22.3,22.7,20.6,23.1,25.4,28.5,35.5,42.7,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0176,"St Margaret’s Road, Twickenham",Richmond upon Thames,51.460457,-0.322624,,,,,,,,,,,,25.0,38.3,25.3,31.8,23.5,21.9,20.9,18.3,21.2,22.7,25.4,26.3,32.7,34.3,,,,,,,,,,,,,,,,,,,25.1,27.2,32.4,,,,,,,
CLDP0177,"Richmond upon Thames Schl + Richmond College, Egerton Rd, Twickenham",Richmond upon Thames,51.452553,-0.340384,,,,,,,,,,,,26.7,37.9,23.5,32.7,24.4,20.8,20.7,20.6,22.1,24.3,26.4,26.3,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0178,"Strawberry Vale, Teddington",Richmond upon Thames,51.433968,-0.329510,,,,,,,,,,,,26.2,39.5,25.5,34.3,25.4,21.9,22.4,21.2,23.0,26.0,27.9,30.0,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0179,"Winchester Rd,  St Stephens Primary School",Richmond Upon Thames,51.456673,-0.322972,,,,,,,,,,,28.5,24.9,37.8,23.8,33.1,25.8,22.5,24.4,21.1,23.7,25.8,26.8,28.2,34.3,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0180,"King St, Twickenham",Richmond upon Thames,51.446381,-0.328477,,,,,,,,,,,,30.1,47.0,30.5,34.0,26.2,22.5,19.6,16.5,21.7,24.5,26.5,30.0,37.5,43.3,38.2,27.0,27.3,18.1,16.4,15.4,17.1,23.0,24.3,28.9,23.2,27.4,24.0,25.9,16.0,22.3,19.9,17.9,19.6,22.9,26.1,,,,,,,
CLDP0181,"Paradise Rd, Richmond",Richmond Upon Thames,51.459778,-0.303931,,,,,,,,,,,33.5,32.2,48.3,34.6,36.1,27.2,24.4,24.4,20.6,23.4,26.8,29.7,33.1,37.9,29.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0182,"Manor Rd,  west bound",Richmond upon Thames,51.429298,-0.324435,,,,,,,,,,,,27.8,42.0,27.0,36.4,27.9,23.3,23.6,20.3,22.3,25.6,28.7,32.9,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0183,Twickenham Academy,Richmond upon Thames,51.444805,-0.362672,,,,,,,,,,,,27.5,40.5,24.7,33.2,24.9,20.9,19.8,18.5,21.2,24.2,26.6,29.6,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0184,"Twickenham railway bridge, London Rd, Twickenham",Richmond Upon Thames,51.449490,-0.330053,,,,,,,,,,,29.1,26.8,39.8,23.3,35.0,25.6,20.5,19.7,19.2,20.3,23.7,25.6,27.8,35.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0185,"High St, Whitton",Richmond upon Thames,51.450996,-0.357864,,,,,,,,,,,,35.9,53.4,33.8,43.3,31.2,26.3,24.9,21.6,23.8,29.7,35.2,41.2,46.0,55.6,53.1,37.8,32.7,22.2,18.9,18.6,19.7,26.8,30.7,38.3,32.0,40.1,34.6,33.2,19.1,25.5,21.4,20.7,22.3,26.3,31.4,,,,,,,
CLDP0186,"Staines Rd, Twickenham jct",Richmond Upon Thames,51.442043,-0.352568,,,,,,,,,,,29.9,26.2,40.9,25.2,32.3,24.4,21.1,20.2,18.9,21.4,23.8,26.2,29.6,38.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0189,Teddington High St,Richmond upon Thames,51.426914,-0.333835,,,,,,,,,,,,24.8,35.4,23.4,33.8,24.6,20.3,21.2,19.0,21.4,23.9,25.6,26.5,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0190,Station Rd Hampton,Richmond upon Thames,51.414921,-0.366500,,,,,,,,,,,26.5,24.5,37.8,23.9,32.3,24.1,21.2,19.1,19.4,20.8,23.8,24.8,26.3,31.9,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0191,"Shackleton Lane, Fulwell",Richmond Upon Thames,51.432091,-0.341919,,,,,,,,,,,28.1,21.7,32.5,28.5,35.3,29.5,26.0,26.0,23.2,29.4,34.1,32.8,28.4,32.1,35.4,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0193,Hampton Ct Rd  west bound,Richmond upon Thames,51.411057,-0.311966,,,,,,,,,,,,27.7,40.6,26.8,34.7,26.1,21.9,21.8,20.1,22.5,24.6,26.4,29.4,37.3,38.2,39.5,27.7,27.9,18.8,18.5,17.5,17.8,25.3,24.7,27.4,,,24.0,27.7,15.8,22.6,20.1,,,,,,,,,,,
CLDP0194,"High St, Hampton Wick",Richmond upon Thames,51.412197,-0.310750,,,,,,,,,,,,32.8,45.9,29.3,38.5,28.0,23.3,23.0,21.9,24.1,25.9,31.3,36.9,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0195,Hampton Court Rd,Richmond upon Thames,51.406052,-0.343391,,,,,,,,,,,,33.2,46.8,29.7,36.8,27.6,24.0,25.1,22.1,23.3,26.5,29.6,35.1,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0196,Church Rd A311,Richmond upon Thames,51.413002,-0.360313,,,,,,,,,,,,30.7,42.1,30.4,35.5,27.2,23.3,23.5,22.3,22.7,27.2,28.9,34.0,40.4,42.3,40.6,31.0,30.0,19.3,,20.7,21.8,27.9,28.8,29.2,23.8,29.2,28.0,31.3,20.3,24.3,23.6,22.3,22.8,25.9,27.7,,,,,,,
CLDP0197,"Petersham Rd, opp Russell School, TW10",Richmond upon Thames,51.444492,-0.302668,,,,,,,,,,,,33.3,47.6,29.5,35.0,24.2,22.6,18.9,17.5,23.2,26.3,28.3,31.9,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0198,"Sheen Lane, south of j/w Vernon Rd, nr zebra crossing, SW14",Richmond Upon Thames,51.467030,-0.266714,,,,,,,,,,,31.3,30.6,44.8,28.7,38.9,28.3,23.5,23.8,21.6,25.3,28.1,30.3,35.8,41.3,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0199,"Rocks Lane, opp houses, SW13",Richmond Upon Thames,51.473728,-0.238039,,,,,,,,,,,47.9,49.6,86.0,29.9,35.6,25.3,21.8,22.7,22.0,24.3,30.4,36.8,58.5,69.9,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0200,"Richmond Pk, Richmond Gate, top of Star and Garter Hill",Richmond upon Thames,51.450237,-0.296633,,,,,,,,,,,,31.2,51.7,31.2,34.0,24.8,24.5,23.1,21.0,21.2,24.9,28.2,32.8,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0201,"Queens School, Cumberland Rd,",Richmond upon Thames,51.481022,-0.284649,,,,,,,,,,,,25.0,37.2,23.0,32.5,24.7,19.6,19.5,18.2,21.9,23.5,25.4,26.8,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0202,"Lwr Rich Rd, Chertsy Corner, nr j/w houses, opp cnr of Chtsy Ct, VS nr Kingsway,",Richmond upon Thames,51.468987,-0.275885,,,,,,,,,,,,35.3,45.6,30.8,39.0,29.1,25.0,23.7,21.1,23.1,28.1,29.7,39.7,46.6,47.1,48.9,36.3,34.3,22.4,19.9,20.3,21.2,29.7,29.5,37.7,32.1,36.3,35.1,34.0,18.6,27.0,22.8,21.9,22.2,28.1,34.6,,,,,,,
CLDP0203,"High St, Barnes, nr j/w St Anns Rd, SW13",Richmond upon Thames,51.473808,-0.249304,,,,,,,,,,,,26.9,37.5,24.4,34.7,26.6,22.2,21.9,19.0,22.0,25.9,26.8,28.9,33.7,38.0,36.1,26.7,27.3,19.3,17.3,16.3,17.9,25.4,24.6,27.2,21.1,25.1,23.6,25.8,15.2,23.0,20.0,20.1,20.4,23.9,27.1,,,,,,,
CLDP0204,"Burtons Road,(north side - relocated) Hampton Hill, nr j/w High St",Richmond upon Thames,51.429974,-0.353908,,,,,,,,,,,,26.4,37.2,22.7,32.8,24.8,21.4,21.1,19.4,22.4,23.9,25.8,26.7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0205,"High St, Mortlake, opp j/w Vineyard Path, SW14",Richmond upon Thames,51.452065,-0.265175,,,,,,,,,,,40.5,,48.1,27.0,35.7,26.4,22.8,23.1,20.1,23.9,27.2,28.3,33.5,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0206,"Kew Rd, before j/w South Circ/ Kew Green",Richmond upon Thames,51.482609,-0.287028,,,,,,,,,,,,,58.0,36.0,39.4,30.3,25.8,25.6,22.0,26.0,30.0,31.7,38.4,45.4,45.2,44.2,33.0,30.0,21.2,19.3,18.8,21.1,27.6,30.8,33.8,27.6,31.5,30.0,30.8,18.6,25.3,22.7,21.9,21.9,26.4,29.7,,,,,,,
CLDP0284,"A316, Chertsey Court, Clifford Ave, nr Chertsey Corner, SW14 8AD",Richmond upon Thames,51.469742,-0.275038,,,,,,,,,,,,,43.7,31.4,39.6,31.4,24.8,27.4,23.2,26.8,30.2,29.1,31.7,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0285,Upper Richmond Road West,Richmond upon Thames,51.464783,-0.266067,,,,,,,,,,,,,49.7,36.3,48.8,36.8,29.4,33.2,28.4,34.1,45.4,42.2,41.3,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0362,Kew Gardens,Richmond upon Thames,51.481876,-0.294325,,,,,,,,,,,,,,,,,,,,,,,20.5,28.1,28.1,31.5,19.3,23.4,17.6,19.8,14.4,15.9,21.8,24.3,24.9,15.9,25.0,19.6,23.0,13.5,20.2,15.1,16.5,15.2,27.2,22.0,29.3,,30.9,24.8,,,
CLDP0429,"Nelson Primary School, Nelson Rd TW2",Richmond upon Thames,51.452881,-0.361776,,,,,,,,,,,,,,,,,,,,,,,,,42.5,42.1,28.7,27.3,18.6,17.3,15.7,18.5,24.7,27.3,30.9,24.6,32.7,25.6,28.8,16.4,23.3,20.5,19.5,20.8,24.5,27.6,,,,,,,
CLDP0430,"The Vineyard Schl, Friars Stile Rd, TW10 6NE",Richmond upon Thames,51.454739,-0.297990,,,,,,,,,,,,,,,,,,,,,,,,,31.5,30.6,23.1,24.9,17.4,16.0,15.5,17.1,23.3,21.3,22.5,16.7,19.8,18.9,22.8,14.5,20.6,19.6,18.2,19.8,21.5,22.1,,,,,,,
CLDP0431,"Thomson House Sch, Sheen Lane, SW14",Richmond upon Thames,51.468327,-0.266484,,,,,,,,,,,,,,,,,,,,,,,,,41.2,37.0,27.8,26.8,19.0,16.8,16.4,17.1,24.1,24.5,29.8,24.3,28.5,25.7,27.4,15.8,22.7,20.2,19.0,20.6,23.2,26.3,,,,,,,
CLDP0432,"St Richards CE Prim Schl, Ashburnham Rd, TW10 7NL",Richmond upon Thames,51.436054,-0.318958,,,,,,,,,,,,,,,,,,,,,,,,,44.4,42.0,23.1,26.2,17.6,17.3,16.0,18.0,24.8,24.6,24.2,,22.5,16.9,19.4,12.3,18.4,17.1,14.5,17.4,18.8,19.6,,,,,,,
CLDP0433,"Twickenham Primary Academy, Heathgate House, 2-4 The Green Twickenham TW2 6QF",Richmond upon Thames,51.444771,-0.340107,,,,,,,,,,,,,,,,,,,,,,,,,44.0,39.0,29.6,28.6,19.6,17.4,15.8,17.4,24.0,23.9,30.0,25.3,29.6,25.2,26.1,16.0,23.2,20.5,18.1,19.4,23.0,27.1,,,,,,,
CLDP0434,"Archdeacon Cambridge's CofE Prim Sch, The Green, Twickenham TW2 5TU",Richmond upon Thames,51.442791,-0.342480,,,,,,,,,,,,,,,,,,,,,,,,,32.5,32.6,22.7,24.5,16.9,15.7,14.4,15.8,21.4,19.2,21.1,17.7,21.8,18.3,22.3,13.7,20.5,18.8,16.8,24.2,20.4,20.2,,,,,,,
CLDP0435,"Hampton Hill Jnrs, St James's Ave, Hampton Hill TW12",Richmond upon Thames,51.427513,-0.360565,,,,,,,,,,,,,,,,,,,,,,,,,39.2,34.6,25.3,27.0,18.2,17.1,16.9,19.7,24.5,26.3,25.3,19.4,24.9,21.1,24.9,,,,,,,,,,,,,,
CLDP0436,"Chase Bridge Primary School, Kneller Rd, TW2 ",Richmond upon Thames,51.453739,-0.345241,,,,,,,,,,,,,,,,,,,,,,,,,43.4,44.2,31.5,30.0,20.1,18.8,16.7,19.6,26.0,28.2,29.7,23.4,,18.8,20.2,13.2,19.7,17.8,15.7,18.2,20.1,22.0,,,,,,,
CLDP0437,"Richmond bus garage, Wakefield Rd, Richmond",Richmond upon Thames,51.459351,-0.304159,,,,,,,,,,,,,,,,,,,,,,,,,47.0,47.1,35.9,32.5,21.9,19.7,21.3,23.7,29.4,35.3,31.7,34.4,37.5,33.8,32.9,20.6,27.0,24.2,23.7,25.3,29.7,37.8,,,,,,,
CLDP0577,"Holy Trinity CE Prim Sch, Carrington Rd, TW10 5AA",Richmond upon Thames,51.463245,-0.285771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,22.6,22.3,22.2,25.6,28.3,,,,,,,
CLDP0043,St Annes C of E Primary School,Wandsworth,51.456181,-0.189397,,,,,,27.2,25.1,24.9,36.0,34.5,40.1,35.5,49.3,27.2,44.1,31.0,23.6,20.5,21.4,26.4,30.5,33.4,32.0,41.0,36.8,41.6,26.8,31.6,23.2,24.9,18.5,20.9,29.0,33.4,33.7,,36.1,27.5,31.2,18.1,24.2,22.6,23.1,23.9,27.5,33.7,36.2,,,,,,
CLDP0103,Griffin School - Wandsworth,Wandsworth,51.473961,-0.139008,,,,,,,22.0,17.6,25.0,26.1,29.8,22.4,34.6,22.7,30.7,23.0,19.2,19.4,17.8,20.8,22.8,25.4,23.5,26.8,25.3,28.4,20.8,23.2,16.4,15.7,13.9,15.7,22.6,20.7,20.7,17.5,18.8,17.8,20.0,14.1,19.8,19.0,17.2,18.1,22.1,23.2,21.7,,,,,,
CLDP0123,Bedford Hill - Wandsworth,Wandsworth,51.444454,-0.150753,,,,,,,,,28.8,31.2,38.6,33.7,47.9,30.7,36.1,26.7,24.3,22.9,21.4,23.4,27.0,29.5,32.7,37.5,38.8,38.1,30.0,28.8,18.2,17.2,18.0,19.5,29.5,28.1,31.4,25.1,29.6,26.1,28.6,18.4,23.0,22.1,20.6,20.0,23.0,25.6,28.7,,,,,,
CLDP0172,Chesterton Primary School,Wandsworth,51.473385,-0.157991,,,,,,,,,,,28.2,23.5,34.6,19.2,33.8,23.9,17.7,17.0,18.2,20.6,21.6,22.7,22.9,30.7,27.5,30.2,18.5,21.9,17.3,20.1,14.5,15.8,22.2,22.7,21.3,16.7,20.6,17.8,20.1,12.0,19.3,15.8,17.7,16.3,23.2,22.8,27.1,,,,,,
CLDP0319,Putney High School junction on Carlton Road,Wandsworth,51.457767,-0.218255,,,,,,,,,,,,,,,,,22.4,22.9,20.4,22.9,27.3,29.9,37.2,38.8,42.1,41.6,32.3,29.0,20.1,17.3,16.3,19.2,25.2,26.7,31.0,,26.7,22.6,26.3,16.4,22.0,20.7,20.5,20.7,22.5,25.6,28.1,17.5,30.0,29.3,32.1,,
CLDP0344,St Michael's CE Primary School,Wandsworth,51.450294,-0.204494,,,,,,,,,,,,,,,,,,,,,,26.1,24.7,33.3,32.0,34.3,25.2,25.9,17.5,15.9,14.4,16.4,23.4,26.1,27.6,22.0,26.2,22.6,25.0,14.1,18.6,18.7,17.9,18.5,21.7,25.0,28.1,19.8,31.8,31.1,33.6,,
CLDP0393,St. Mary's RC Primary School,Wandsworth,51.476917,-0.145870,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,26.8,27.2,18.7,17.6,16.6,19.3,26.7,29.0,,17.0,22.3,20.6,24.3,14.9,20.9,18.4,17.1,18.5,22.6,24.2,,,,,,,
CLDP0457,West Hill,Wandsworth,51.456909,-0.200855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,17.4,15.9,17.9,23.6,20.5,22.5,18.3,21.7,19.8,20.5,14.0,21.2,19.7,17.8,21.3,22.7,21.4,,,,,,,
CLDP0458,Wandsworth Town,Wandsworth,51.457012,-0.194256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,19.5,21.7,23.3,28.9,32.6,36.9,35.0,36.3,36.9,38.1,21.0,27.7,22.6,24.6,24.8,29.5,33.3,,,,,,,
CLDP0459,Roehampton Lane,Wandsworth,51.449669,-0.239489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,18.6,17.4,19.5,27.3,28.9,32.2,27.0,31.2,28.1,30.5,17.7,24.7,21.7,21.6,22.2,25.7,29.9,,,,,,,
CLDP0460,Wandsworth Bridge,Wandsworth,51.463623,-0.186392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,23.5,23.1,29.7,35.4,41.0,39.4,28.2,36.0,33.5,39.7,23.3,30.3,26.3,27.6,27.9,32.3,37.8,,,,,,,
CLDP0461,Mitcham Road,Wandsworth,51.425510,-0.164746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,18.7,20.4,22.7,29.0,30.4,32.2,28.6,31.4,28.9,26.8,17.9,26.1,22.5,21.4,22.8,26.5,29.4,,,,,,,
CLDP0462,Nine Elms Lane,Wandsworth,51.481251,-0.138428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,16.8,16.7,19.1,26.2,26.2,27.7,22.4,26.4,23.9,26.8,17.3,22.9,20.5,20.9,20.8,25.3,29.3,,,,,,,
CLDP0463,Battersea Park Rd/Queenstown Rd Junction,Wandsworth,51.476173,-0.148023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,17.9,17.7,19.6,28.3,31.4,34.9,26.1,32.7,28.7,31.4,19.5,24.2,21.5,21.6,22.3,26.4,30.5,,,,,,,
CLDP0464,Bellevue Road/Trinity Road,Wandsworth,51.443928,-0.168004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,16.6,16.1,18.0,24.6,25.7,28.1,25.1,28.3,25.6,26.9,16.4,22.8,20.2,19.1,20.5,23.9,27.8,,,,,,,
CLDP0465,Queenstown Road,Wandsworth,51.469536,-0.149902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,17.4,16.6,18.5,25.5,26.6,26.6,20.6,,,,,21.8,22.2,21.8,22.0,27.4,32.9,,,,,,,
CLDP0471,Putney Disraeli Road,Wandsworth,51.461651,-0.216464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,16.7,17.0,18.4,25.8,25.6,28.0,24.7,29.3,26.3,28.1,16.1,21.0,20.0,19.5,20.8,23.9,27.6,29.3,22.6,35.2,,33.6,24.8,
CLDP0472,Putney Weimar Street,Wandsworth,51.465408,-0.214630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,18.0,17.0,17.6,26.7,28.1,31.6,27.4,30.2,26.4,30.7,17.2,23.1,20.2,20.7,21.3,26.3,31.9,32.6,24.9,38.3,,39.7,28.1,
CLDP0473,Putney High Street,Wandsworth,51.461102,-0.216833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,19.2,18.9,19.7,28.9,32.3,35.1,29.5,34.7,31.7,32.2,18.7,25.5,21.5,21.4,22.3,27.4,32.0,,,,,,,
CLDP0561,Wandsworth High Street,Wandsworth,51.456791,-0.191697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,27.9,17.2,21.9,20.1,20.3,20.1,26.4,28.1,28.8,19.4,,26.5,35.4,23.4,
CLDP0581,Tooting Broadway,Wandsworth,51.427967,-0.167831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,19.3,20.8,24.2,29.0,32.7,28.6,39.6,36.4,36.1,26.3,
